Season,MatchDate,Team,Opponent,is_home,GoalsFor,GoalsAgainst,Result,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,CornersFor,CornersAgainst,FoulsFor,FoulsAgainst,YellowCards,RedCards,season_week,days_since_last_match,is_first_season,h2h_win_rate,is_promoted,Off_raw_norm,Def_raw_norm,Ctrl_raw_norm,MPI,FormLabel,avg_goals_scored_last5,avg_goals_conceded_last5,avg_shots_last5,avg_shots_on_target_last5,clean_sheet_rate_last5,discipline_score_last5,mpi_avg_last5,avg_ctrl_last5,avg_shot_conversion_rate_last5,avg_shot_accuracy_rate_last5,season_avg_goals_scored,season_avg_goals_conceded,season_mpi_avg,discipline_score_season,game_control_season,avg_shots_season,avg_shots_on_target_season,clean_sheet_rate_season,avg_shot_conversion_rate_season,avg_shot_accuracy_rate_season,previous_season_pi,previous_avg_goals_scored,previous_avg_goals_conceded,previous_clean_sheet_rate,previous_avg_shots,previous_avg_shots_on_target,previous_avg_discipline_score,previous_avg_ctrl,previous_avg_shot_conversion_rate,previous_avg_shot_accuracy_rate,opp_avg_goals_scored_last5,opp_avg_goals_conceded_last5,opp_mpi_avg_last5,opp_avg_shots_last5,opp_avg_shots_on_target_last5,opp_clean_sheet_rate_last5,opp_discipline_score_last5,opp_avg_ctrl_last5,opp_avg_shot_conversion_rate_last5,opp_avg_shot_accuracy_rate_last5
2019/20,2020-07-11,Burnley,Liverpool,0,1,1,Draw,6,23,2,9,6,12,4,7,2,0,35,3,1,0.0,0,0.3482587064676617,0.33333333333333337,0.2053133213007821,0.27479803611134285,0,0.8,1.2,7.0,3.4,0.6,0.8666666666666666,0.4057619813296965,0.3314034941465069,0.09444444444444444,0.4,1.1176470588235294,1.3529411764705883,0.44074334123849757,0.6960784313725491,0.4259039705545754,9.911764705882353,3.5588235294117645,0.4,0.12589693802929094,0.3503096576625988,,,,,,,,,,,1.8,1.0,0.6214510627917668,13.4,5.0,0.6,0.7,0.6273375212224108,0.13634085213032582,0.398755980861244
2019/20,2020-07-15,Burnley,Wolves,1,1,1,Draw,9,14,1,5,3,8,10,8,0,0,36,4,1,0.0,0,0.2263681592039801,0.4,0.2642631852118018,0.28533536858447917,0,1.0,0.4,8.0,3.8,0.6,0.8333333333333334,0.45447937995427523,0.3618340061632258,0.12777777777777777,0.4666666666666667,1.1142857142857143,1.3428571428571427,0.4360020468062932,0.6952380952380953,0.420082501683976,9.8,3.5142857142857142,0.3888888888888889,0.12706178741893026,0.3498246198246198,,,,,,,,,,,1.0,0.6,0.531593106886479,9.8,2.6,0.6,0.8,0.5526849816849817,0.08507936507936509,0.23777777777777778
2019/20,2020-07-18,Burnley,Norwich,0,2,0,Win,23,6,8,2,8,6,16,9,0,0,37,3,1,1.0,0,0.7010599178022928,0.9000000000000001,0.7667711598746081,0.7795366873320169,1,1.0,0.6,8.0,3.0,0.4,0.8666666666666668,0.40039968425450956,0.33004159694518725,0.12777777777777777,0.37777777777777777,1.1111111111111112,1.3333333333333333,0.43181686130013164,0.7037037037037037,0.4161283727578254,9.777777777777779,3.4444444444444446,0.3783783783783784,0.12661871307704642,0.34319368902702235,,,,,,,,,,,0.2,2.4,0.2366391709363826,9.0,1.6,0.0,0.5666666666666667,0.29222222222222227,0.016666666666666666,0.15303030303030302
2019/20,2020-07-26,Burnley,Brighton,1,1,2,Loss,13,14,2,4,6,7,11,11,3,0,38,8,1,0.0,0,0.29200153080750096,0.275,0.4132780799447466,0.34742190168245646,0,1.2,0.6,11.0,3.8,0.4,0.9,0.4582394433400305,0.41074701566439914,0.12016908212560384,0.3473429951690821,1.135135135135135,1.2972972972972974,0.44121469443612854,0.7117117117117118,0.42519320305075065,10.135135135135135,3.5675675675675675,0.39473684210526316,0.12554676195980544,0.3433188889710629,,,,,,,,,,,0.6,1.8,0.3530698604757608,8.8,1.8,0.4,0.7333333333333334,0.37903314740479227,0.06166666666666666,0.17787878787878783
2020/21,2020-09-20,Burnley,Leicester,0,2,4,Loss,16,14,5,6,4,15,13,11,2,0,1,0,0,0.5,0,0.6104166666666666,0.03333333333333334,0.43180084598848895,0.3886466696351053,0,,,,,,,,,,,,,,,,,,,,,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,3.0,0.0,0.8377430241153363,13.0,7.0,0.5,0.8333333333333334,0.752857142857143,0.23076923076923078,0.5384615384615384
2020/21,2020-09-26,Burnley,Southampton,1,0,1,Loss,10,5,2,1,8,2,8,10,1,0,2,6,0,1.0,0,0.15999999999999998,0.5916666666666667,0.7101449275362318,0.5298259448421143,0,2.0,4.0,16.0,5.0,0.0,0.6666666666666667,0.3886466696351053,0.4372567783094099,0.125,0.3125,2.0,4.0,0.3886466696351053,0.6666666666666667,0.4372567783094099,16.0,5.0,0.0,0.125,0.3125,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,1.0,3.0,0.5001410972264096,11.5,6.0,0.0,0.5833333333333334,0.573002866698519,0.07142857142857142,0.5277777777777778
2020/21,2020-10-03,Burnley,Newcastle,0,1,3,Loss,7,10,3,5,4,3,17,13,3,0,3,7,0,0.5,0,0.4119047619047619,0.07499999999999998,0.4228169528681037,0.33883124830306777,0,1.0,2.5,13.0,3.5,0.0,0.75,0.4592363072386098,0.5652950558213716,0.0625,0.25625,1.0,2.5,0.4592363072386098,0.75,0.5652950558213716,13.0,3.5,0.0,0.0625,0.25625,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,1.0,1.3333333333333333,0.29325035475445427,9.0,1.0,0.25,0.5,0.3084399438029202,0.09999999999999999,0.09999999999999999
2020/21,2020-10-19,Burnley,West Brom,0,0,0,Draw,9,13,4,6,2,8,17,15,2,0,4,16,0,,0,0.3333333333333333,0.6833333333333333,0.3517786561264823,0.4238283994064552,0,1.0,2.6666666666666665,11.0,3.3333333333333335,0.0,0.6666666666666666,0.4191012875934292,0.5198605694271329,0.08928571428571429,0.3136904761904762,1.0,2.6666666666666665,0.4191012875934292,0.6666666666666666,0.5198605694271329,11.0,3.3333333333333335,0.0,0.08928571428571429,0.3136904761904762,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,1.25,3.25,0.24303574028465283,6.75,2.5,0.0,0.75,0.251345488312529,0.16666666666666666,0.3857142857142857
2020/21,2020-10-26,Burnley,Tottenham,1,0,1,Loss,13,9,4,3,4,5,9,7,2,0,5,7,0,0.0,0,0.29230769230769227,0.4833333333333334,0.5585042976347324,0.467100896122943,0,0.75,2.0,10.5,3.5,0.2,0.6666666666666667,0.42028306554668565,0.4808045179794406,0.06696428571428571,0.34637896825396824,0.75,2.0,0.42028306554668565,0.6666666666666667,0.4808045179794406,10.5,3.5,0.2,0.06696428571428571,0.34637896825396824,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,3.0,1.6,0.5863103016030451,14.8,7.4,0.0,0.8,0.6020562459917782,0.22889767237593323,0.5306104523495827
2020/21,2020-10-31,Burnley,Chelsea,1,0,3,Loss,5,14,0,9,3,4,10,15,1,0,6,5,0,0.0,0,0.0,0.04166666666666667,0.16410591696632884,0.09004512645955091,0,0.6,1.8,11.0,3.6,0.2,0.6666666666666667,0.4296466316619371,0.4954084051483433,0.05357142857142857,0.3386416361416361,0.6,1.8,0.4296466316619371,0.6666666666666667,0.4954084051483433,11.0,3.6,0.16666666666666666,0.05357142857142857,0.3386416361416361,0.438746463047874,1.131578947368421,1.3157894736842106,0.39473684210526316,10.210526315789474,3.526315789473684,0.7061403508771931,0.42501005608187875,0.12426719130094414,0.33833276436251264,2.0,1.6,0.5172276021771489,12.2,5.0,0.4,0.6666666666666667,0.5241115518422672,0.12887700534759355,0.4057397504456328
